online_order,book_table,rate,votes,rest_type,cuisines,cost,type,city
Yes,No,3.6,34,Quick Bites,South Indian,100,Delivery,Banashankari
No,No,4.1,868,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,Delivery,Banashankari
No,No,3.8,39,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Yes,No,3.2,71,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery,Banashankari
Yes,No,3.6,6,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery,Banashankari
No,No,4.1,520,Quick Bites,"Biryani, Chinese, Kebab",300,Delivery,Banashankari
No,No,2.9,84,Delivery,"Chinese, Continental, Italian, North Indian",700,Delivery,Banashankari
No,No,3.6,299,Quick Bites,"Fast Food, Rolls, Momos",300,Delivery,Banashankari
Yes,No,4.1,558,Quick Bites,South Indian,150,Delivery,Banashankari
Yes,No,3.6,28,Quick Bites,"Biryani, South Indian",300,Delivery,Banashankari
No,No,3.7,22,Quick Bites,Fast Food,500,Delivery,Banashankari
No,No,3.8,39,Quick Bites,"South Indian, Chinese, North Indian",350,Delivery,Banashankari
Yes,No,3.8,153,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery,Banashankari
Yes,No,4.2,146,Beverage Shop,"Beverages, Desserts, Ice Cream",400,Delivery,Banashankari
No,No,3.5,14,Sweet Shop,"Mithai, Street Food",200,Delivery,Banashankari
No,No,3.8,42,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
No,No,4.0,66,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Yes,No,4.4,4401,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery,Banashankari
No,No,3.5,31,Quick Bites,North Indian,200,Delivery,Banashankari
No,No,3.5,7,Dessert Parlor,Desserts,500,Delivery,Banashankari
No,No,3.7,21,Quick Bites,Biryani,250,Delivery,Banashankari
No,No,3.2,9,Dessert Parlor,Ice Cream,300,Delivery,Banashankari
No,No,2.6,283,Casual Dining,North Indian,600,Delivery,Banashankari
No,No,3.3,62,Bar,"South Indian, North Indian, Chinese",800,Delivery,Banashankari
No,No,3.8,64,Quick Bites,"Fast Food, Bakery",250,Delivery,Banashankari
No,No,3.7,39,Casual Dining,"North Indian, Iranian",950,Delivery,Banashankari
No,No,3.7,65,Quick Bites,"Fast Food, Street Food",300,Delivery,Banashankari
Yes,No,3.8,71,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery,Banashankari
No,No,3.5,52,Quick Bites,South Indian,300,Delivery,Banashankari
No,No,3.7,130,Quick Bites,South Indian,200,Delivery,Banashankari
No,No,3.5,10,Quick Bites,"South Indian, Biryani",300,Delivery,Banashankari
No,No,3.8,45,"Takeaway, Delivery",Bakery,400,Delivery,Banashankari
No,No,3.2,11,Cafe,"Cafe, Bakery",600,Delivery,Banashankari
No,No,3.5,13,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
No,No,3.4,8,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,Delivery,Banashankari
No,No,3.2,9,Quick Bites,Biryani,300,Delivery,Banashankari
No,No,3.2,4,Quick Bites,North Indian,300,Delivery,Banashankari
No,No,3.1,29,Quick Bites,North Indian,150,Delivery,Banashankari
No,No,3.4,8,Bakery,"Bakery, Desserts",400,Delivery,Banashankari
No,No,3.1,30,Bar,"Chinese, North Indian",1000,Delivery,Banashankari
Yes,No,4.1,201,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
No,No,3.3,7,Quick Bites,"Mangalorean, South Indian, North Indian",200,Delivery,Banashankari
No,No,3.1,6,Quick Bites,"Fast Food, South Indian",100,Delivery,Banashankari
No,No,3.3,17,Quick Bites,"Street Food, Fast Food",200,Delivery,Banashankari
No,No,2.9,25,Dessert Parlor,"Ice Cream, Desserts",200,Delivery,Banashankari
No,No,3.3,8,Delivery,South Indian,100,Delivery,Banashankari
Yes,No,4.0,771,Casual Dining,"South Indian, North Indian, Chinese",450,Delivery,Banashankari
No,No,3.0,98,Bar,"North Indian, Chinese",800,Delivery,Banashankari
Yes,No,3.9,47,Quick Bites,South Indian,200,Delivery,Banashankari
Yes,Yes,4.1,175,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,Delivery,Banashankari
Yes,No,3.8,58,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,Delivery,Banashankari
Yes,No,3.8,540,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,Delivery,Banashankari
Yes,No,3.8,124,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,Delivery,Banashankari
Yes,No,4.1,340,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Banashankari
Yes,No,3.8,505,Quick Bites,"Burger, Fast Food",450,Delivery,Banashankari
Yes,No,4.1,438,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery,Banashankari
Yes,No,3.7,264,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750,Delivery,Banashankari
Yes,No,3.9,169,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery,Banashankari
Yes,No,3.0,67,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
Yes,No,3.7,97,Quick Bites,"North Indian, Mughlai, Chinese",350,Delivery,Banashankari
Yes,No,3.3,12,"Takeaway, Delivery",Biryani,300,Delivery,Banashankari
Yes,No,3.3,12,Quick Bites,Biryani,300,Delivery,Banashankari
Yes,No,3.6,195,Casual Dining,"Chinese, Seafood, Biryani",800,Delivery,Banashankari
Yes,No,3.3,13,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300,Delivery,Banashankari
Yes,No,4.6,228,Cafe,"Cafe, Beverages",400,Delivery,Banashankari
Yes,No,4.1,70,Quick Bites,"South Indian, Chinese",150,Delivery,Banashankari
Yes,Yes,4.1,364,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200,Delivery,Banashankari
Yes,No,3.7,107,Beverage Shop,"Beverages, Ice Cream",150,Delivery,Banashankari
Yes,No,3.2,167,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,Delivery,Banashankari
Yes,No,4.0,115,Sweet Shop,"Mithai, Street Food",400,Delivery,Banashankari
Yes,No,3.7,27,"Takeaway, Delivery","Italian, Pizza",400,Delivery,Banashankari
Yes,No,3.5,57,Quick Bites,Biryani,200,Delivery,Banashankari
Yes,No,3.8,120,Quick Bites,"North Indian, Fast Food, Rolls",250,Delivery,Banashankari
Yes,No,3.8,15,Bakery,Bakery,400,Delivery,Banashankari
Yes,No,4.2,64,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,Delivery,Banashankari
Yes,No,3.6,66,Quick Bites,South Indian,150,Delivery,Banashankari
Yes,No,3.0,290,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450,Delivery,Banashankari
Yes,No,4.1,233,Quick Bites,Street Food,200,Delivery,Banashankari
Yes,No,3.8,115,Quick Bites,"Fast Food, Pizza",250,Delivery,Banashankari
Yes,No,3.1,119,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,Delivery,Banashankari
Yes,Yes,3.9,291,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,Delivery,Banashankari
Yes,No,4.5,155,Beverage Shop,"Beverages, Sandwich",300,Delivery,Banashankari
Yes,No,4.1,305,Casual Dining,Italian,700,Delivery,Banashankari
Yes,No,3.6,46,Quick Bites,"Fast Food, Italian, Beverages",500,Delivery,Banashankari
Yes,No,3.5,45,Quick Bites,"Bengali, Chinese, Sandwich",350,Delivery,Banashankari
Yes,No,3.9,38,Dessert Parlor,Ice Cream,150,Delivery,Banashankari
Yes,No,3.9,441,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,Delivery,Banashankari
Yes,No,3.9,25,Quick Bites,South Indian,100,Delivery,Banashankari
Yes,No,4.3,630,Quick Bites,"North Indian, Street Food, Juices",200,Delivery,Banashankari
Yes,No,3.8,25,Quick Bites,South Indian,150,Delivery,Banashankari
Yes,No,3.9,160,Quick Bites,Arabian,300,Delivery,Banashankari
Yes,No,4.2,287,Quick Bites,North Indian,350,Delivery,Banashankari
Yes,No,3.6,11,Quick Bites,South Indian,100,Delivery,Banashankari
Yes,No,4.1,402,Cafe,Cafe,500,Delivery,Banashankari
Yes,No,3.8,469,Casual Dining,"North Indian, Chinese, Beverages",750,Delivery,Banashankari
Yes,No,3.3,511,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,Delivery,Banashankari
Yes,No,3.9,57,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Banashankari
Yes,No,3.4,14,Quick Bites,South Indian,300,Delivery,Banashankari
Yes,No,3.9,264,Quick Bites,South Indian,200,Delivery,Banashankari
Yes,No,3.0,62,Cafe,"Cafe, French, North Indian",400,Delivery,Banashankari
Yes,No,3.8,693,Casual Dining,"Pizza, Fast Food",750,Delivery,Banashankari
Yes,No,3.8,242,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650,Delivery,Banashankari
Yes,No,3.6,27,Dessert Parlor,Fast Food,250,Delivery,Banashankari
Yes,No,4.1,163,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,Delivery,Banashankari
Yes,No,4.2,191,Quick Bites,"Street Food, Fast Food",250,Delivery,Banashankari
Yes,No,3.5,32,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150,Delivery,Banashankari
Yes,No,2.5,247,Casual Dining,North Indian,500,Delivery,Banashankari
Yes,Yes,4.1,2339,Casual Dining,"North Indian, Chinese, BBQ",1500,Delivery,Banashankari
Yes,No,4.1,337,Quick Bites,"Chinese, Fast Food",300,Delivery,Banashankari
Yes,No,3.9,135,Casual Dining,"North Indian, Chinese, Continental",800,Delivery,Banashankari
Yes,No,3.6,172,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
Yes,No,3.6,105,Casual Dining,Vietnamese,700,Delivery,Banashankari
Yes,No,4.2,504,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,Delivery,Banashankari
Yes,No,3.2,36,Quick Bites,"Fast Food, Street Food",200,Delivery,Banashankari
Yes,No,3.1,39,Quick Bites,North Indian,300,Delivery,Banashankari
Yes,No,3.1,5,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500,Delivery,Banashankari
Yes,Yes,4.3,1129,Casual Dining,"Italian, Salad",1300,Delivery,Banashankari
Yes,No,3.9,56,Quick Bites,"North Indian, Chinese",350,Delivery,Banashankari
Yes,No,4.3,860,Dessert Parlor,"Desserts, Ice Cream",500,Delivery,Banashankari
Yes,No,3.8,412,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700,Delivery,Banashankari
Yes,Yes,3.9,142,Casual Dining,"Mangalorean, Seafood, South Indian",1000,Delivery,Banashankari
Yes,No,3.0,23,Quick Bites,Andhra,400,Delivery,Banashankari
Yes,No,3.6,143,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,Delivery,Banashankari
Yes,Yes,2.8,80,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,Delivery,Banashankari
Yes,No,3.6,16,Casual Dining,South Indian,400,Delivery,Banashankari
Yes,No,4.4,181,Beverage Shop,"Beverages, Tea",250,Delivery,Banashankari
Yes,No,3.8,70,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari
Yes,No,3.8,164,Quick Bites,"Pizza, Italian",600,Delivery,Banashankari
Yes,No,3.6,58,Quick Bites,"Cafe, Burger, Beverages",650,Delivery,Banashankari
No,No,3.8,148,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,Delivery,Banashankari
No,No,3.9,206,Quick Bites,"South Indian, Mangalorean",450,Delivery,Banashankari
No,No,3.6,16,Quick Bites,South Indian,300,Delivery,Banashankari
No,No,3.7,217,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450,Delivery,Banashankari
No,No,3.6,46,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450,Delivery,Banashankari
No,No,3.8,148,Quick Bites,"Fast Food, Street Food",150,Delivery,Banashankari
No,No,3.4,30,Dessert Parlor,Desserts,250,Delivery,Banashankari
No,No,3.6,8,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,Delivery,Banashankari
No,No,3.3,4,Quick Bites,South Indian,250,Delivery,Banashankari
No,No,3.5,15,"Bakery, Quick Bites",Bakery,400,Delivery,Banashankari
Yes,No,3.4,9,Quick Bites,Street Food,200,Delivery,Banashankari
Yes,No,3.7,31,Quick Bites,"South Indian, North Indian",300,Delivery,Banashankari
Yes,No,2.9,177,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700,Delivery,Banashankari
Yes,No,3.7,22,Sweet Shop,"Mithai, Desserts",250,Delivery,Banashankari
Yes,No,3.5,10,Beverage Shop,"Juices, Beverages",100,Delivery,Banashankari
Yes,No,3.7,136,Quick Bites,"Salad, Fast Food",600,Delivery,Banashankari
Yes,No,2.9,35,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
Yes,No,4.1,185,Quick Bites,"Juices, Desserts",200,Delivery,Banashankari
Yes,No,3.2,17,Cafe,"Cafe, Fast Food",900,Delivery,Banashankari
Yes,No,3.8,155,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,Delivery,Banashankari
Yes,No,3.8,42,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Banashankari
Yes,No,3.8,286,Casual Dining,North Indian,600,Delivery,Banashankari
Yes,No,3.8,160,Casual Dining,"North Indian, Chinese",700,Delivery,Banashankari
Yes,No,3.8,59,Casual Dining,"North Indian, Chinese",750,Delivery,Banashankari
Yes,No,3.5,90,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500,Delivery,Banashankari
Yes,No,3.7,51,Quick Bites,"South Indian, Mangalorean",350,Delivery,Banashankari
Yes,No,4.0,89,Quick Bites,"South Indian, Beverages",200,Delivery,Banashankari
Yes,No,3.6,18,Quick Bites,"Fast Food, Rolls",250,Delivery,Banashankari
Yes,No,3.9,40,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600,Delivery,Banashankari
Yes,No,2.5,35,Quick Bites,Fast Food,200,Delivery,Banashankari
Yes,No,3.4,89,Quick Bites,"North Indian, Chinese, Rolls",250,Delivery,Banashankari
Yes,No,3.2,11,Quick Bites,"Beverages, Fast Food",150,Delivery,Banashankari
Yes,No,3.6,62,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,Delivery,Banashankari
Yes,No,3.9,33,Dessert Parlor,Desserts,300,Delivery,Banashankari
Yes,No,3.8,32,Sweet Shop,"Desserts, Mithai",250,Delivery,Banashankari
Yes,No,4.1,139,Casual Dining,"North Indian, Chinese, South Indian",550,Delivery,Banashankari
Yes,No,3.2,154,Quick Bites,Fast Food,300,Delivery,Banashankari
Yes,No,3.6,14,Bakery,"Bakery, Desserts",350,Delivery,Banashankari
Yes,No,3.7,237,Quick Bites,"South Indian, Fast Food",200,Delivery,Banashankari
Yes,No,3.9,388,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650,Delivery,Banashankari
Yes,No,3.9,128,Casual Dining,"South Indian, Chinese, Street Food, Juices",500,Delivery,Banashankari
Yes,Yes,4.1,1875,Casual Dining,"North Indian, Afghani, Mughlai",1200,Delivery,Banashankari
Yes,No,3.8,90,Cafe,Cafe,650,Delivery,Banashankari
Yes,No,3.1,7,Quick Bites,"Italian, Chinese, Street Food",250,Delivery,Banashankari
Yes,No,3.7,38,Casual Dining,"South Indian, North Indian",400,Delivery,Banashankari
Yes,No,4.2,179,Delivery,Pizza,600,Delivery,Banashankari
Yes,No,4.0,43,Dessert Parlor,"Desserts, Ice Cream",250,Delivery,Banashankari
Yes,No,4.3,275,Quick Bites,South Indian,100,Delivery,Banashankari
Yes,No,3.7,323,Casual Dining,"Chinese, Thai, Momos",850,Delivery,Banashankari
Yes,No,3.1,28,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery,Banashankari
Yes,No,3.9,18,Quick Bites,"South Indian, Healthy Food",200,Delivery,Banashankari
Yes,No,3.3,6,Quick Bites,"Street Food, Fast Food",100,Delivery,Banashankari
Yes,No,4.3,322,Casual Dining,South Indian,400,Delivery,Banashankari
Yes,No,2.6,157,Cafe,"Cafe, American, Pizza",450,Delivery,Banashankari
Yes,No,3.9,543,Quick Bites,"South Indian, Fast Food",300,Delivery,Banashankari
Yes,No,3.7,180,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Delivery,Banashankari
Yes,No,4.2,444,Quick Bites,South Indian,100,Delivery,Banashankari
Yes,No,3.9,134,Quick Bites,"Street Food, North Indian, South Indian",400,Delivery,Banashankari
Yes,No,3.8,577,Casual Dining,"North Indian, South Indian, Biryani, Beverages",900,Delivery,Banashankari
Yes,No,4.2,60,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,Delivery,Banashankari
Yes,No,3.9,144,Casual Dining,"North Indian, Chinese, Rolls",550,Delivery,Banashankari
Yes,No,4.1,787,Casual Dining,"Chinese, North Indian, Thai",800,Delivery,Banashankari
Yes,No,3.6,16,Quick Bites,South Indian,200,Delivery,Banashankari
Yes,No,3.6,84,Quick Bites,"South Indian, North Indian, Chinese",250,Delivery,Banashankari
Yes,No,3.6,95,Quick Bites,"South Indian, Street Food",150,Delivery,Banashankari
Yes,Yes,4.0,349,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200,Delivery,Banashankari
Yes,No,3.7,248,Quick Bites,"North Indian, Fast Food",400,Delivery,Banashankari
Yes,No,4.1,216,Cafe,"Cafe, Continental, Beverages, Desserts",500,Delivery,Banashankari
Yes,No,4.0,324,Cafe,"Cafe, Italian, Continental",700,Delivery,Banashankari
Yes,No,2.6,231,Quick Bites,"North Indian, Chinese, Rolls, Biryani, Kebab",400,Delivery,Banashankari
Yes,No,3.4,102,Casual Dining,"South Indian, North Indian, Chinese, Beverages",400,Delivery,Banashankari
Yes,No,3.9,133,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,Delivery,Banashankari
Yes,No,2.8,45,Casual Dining,"Pizza, Italian, Salad",800,Delivery,Banashankari
Yes,No,3.9,149,Quick Bites,"Fast Food, Chinese, Rolls",300,Delivery,Banashankari
Yes,No,3.8,75,Quick Bites,"Fast Food, Chinese",200,Delivery,Banashankari
Yes,No,4.0,53,Delivery,"Mexican, Italian",600,Delivery,Banashankari
Yes,Yes,4.2,815,Casual Dining,"North Indian, Chinese",900,Delivery,Banashankari
Yes,Yes,4.0,633,Casual Dining,"North Indian, Chinese",800,Delivery,Banashankari
Yes,No,3.5,56,Dessert Parlor,"Ice Cream, Desserts, Beverages",400,Delivery,Banashankari
Yes,No,3.0,82,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery,Banashankari
Yes,No,3.7,35,Quick Bites,Fast Food,200,Delivery,Banashankari
Yes,No,3.6,20,Quick Bites,"Juices, Fast Food",150,Delivery,Banashankari
Yes,No,3.1,14,Quick Bites,"South Indian, Chinese, Street Food",250,Delivery,Banashankari
Yes,No,3.9,70,Dessert Parlor,"Fast Food, Desserts, Ice Cream",400,Delivery,Banashankari
Yes,No,3.9,91,Cafe,"Cafe, Fast Food, Chinese",300,Delivery,Banashankari
Yes,No,3.6,45,Quick Bites,Biryani,200,Delivery,Banashankari
Yes,No,3.4,7,Quick Bites,"North Indian, Chinese",250,Delivery,Banashankari
Yes,No,3.8,28,Quick Bites,Fast Food,150,Delivery,Banashankari
Yes,No,3.6,24,Casual Dining,"North Indian, Chinese",600,Delivery,Banashankari
Yes,No,3.8,36,Dessert Parlor,"Desserts, Momos",200,Delivery,Banashankari
Yes,No,3.5,11,Quick Bites,Fast Food,200,Delivery,Banashankari
Yes,No,3.8,77,Cafe,"Cafe, Continental, Fast Food",650,Delivery,Banashankari
Yes,No,3.2,8,Sweet Shop,"Mithai, Street Food",100,Delivery,Banashankari
Yes,No,3.7,14,Quick Bites,South Indian,100,Delivery,Banashankari
Yes,No,3.8,210,Casual Dining,"North Indian, Chinese, Fast Food",600,Delivery,Banashankari
Yes,No,4.1,130,Cafe,"Cafe, Italian, Pizza",650,Delivery,Banashankari
Yes,No,4.1,30,Beverage Shop,"Beverages, Tea",100,Delivery,Banashankari
Yes,No,3.8,144,Cafe,"Chinese, Cafe, Italian",700,Delivery,Banashankari
Yes,No,3.4,11,Bar,"North Indian, Seafood, Chinese",800,Delivery,Banashankari
Yes,No,3.7,133,Casual Dining,"Chinese, Thai, Continental, North Indian",700,Delivery,Banashankari
Yes,No,4.0,136,Quick Bites,"South Indian, Fast Food",350,Delivery,Banashankari
Yes,No,3.1,4,Quick Bites,"South Indian, North Indian, Chinese",200,Delivery,Banashankari
Yes,No,3.5,11,"Sweet Shop, Quick Bites","Mithai, South Indian, Street Food, Fast Food",200,Delivery,Banashankari
Yes,No,3.8,74,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Banashankari
Yes,No,3.7,30,Quick Bites,"South Indian, North Indian, Desserts",300,Delivery,Banashankari
Yes,No,3.0,7,Quick Bites,"South Indian, Burger",200,Delivery,Banashankari
Yes,No,3.8,75,"Cafe, Quick Bites","Cafe, South Indian",200,Delivery,Banashankari
Yes,No,3.7,54,Cafe,"Cafe, Beverages",600,Delivery,Banashankari
Yes,No,3.6,23,Kiosk,"Beverages, Desserts",100,Delivery,Banashankari
Yes,No,3.2,119,Casual Dining,"North Indian, Chinese",400,Delivery,Banashankari
Yes,No,3.7,73,Quick Bites,"Biryani, Fast Food",400,Delivery,Banashankari
